MONTH,YEAR,AIRLINE_CODE,FL_NUMBER,ORIGIN,DEST,SCHEDULED_DEPARTURE,DEP_DELAY,SCHEDULED_ARRIVAL_TIME,ARR_DELAY,CANCELLED,DISTANCE
7,19,WN,943,MCO,BDL,2125,-5,5,-9,0,1050
2,22,DL,1382,ANC,SEA,140,-15,607,-8,0,1448
5,21,OO,4287,BRD,MSP,615,-4,708,-25,0,114
5,23,AA,1623,MIA,PHL,1001,5,1253,-1,0,1013
10,19,OO,3600,MSN,DTW,1247,66,1510,55,0,311
2,23,WN,2949,STL,MCI,1030,-4,1140,-9,0,237
6,22,WN,1771,DEN,SEA,810,-1,1005,-9,0,1024
1,23,NK,430,SEA,LAS,1845,-6,2118,-18,0,867
9,22,AA,1448,ORF,MIA,635,-9,857,23,0,802
2,21,OO,3548,BIL,SLC,600,-2,733,-16,0,387
5,23,HA,237,KOA,HNL,1155,-2,1245,-5,0,163
3,23,OH,5451,CLT,PIA,1430,-7,1535,27,0,607
1,23,OO,4792,JAX,ORD,615,2,801,-7,0,864
8,23,HA,329,KOA,LIH,931,-5,1025,-4,0,263
10,21,YX,3457,EWR,BOS,1330,-4,1448,-15,0,200
9,22,AA,1241,DFW,SEA,1850,-4,2106,-18,0,1660
3,21,UA,336,IAH,SAN,1440,-4,1614,9,0,1303
3,22,WN,2192,HOU,HRL,1845,2,1945,-3,0,277
6,23,DL,2692,DTW,BUF,1520,41,1624,43,0,241
7,20,DL,1296,MSP,GEG,1030,-6,1123,-8,0,1175
9,19,WN,4206,SJC,SAN,1335,-2,1500,-4,0,417
6,19,WN,1508,OMA,DEN,640,-3,715,-5,0,472
5,22,YV,5753,PHX,BUR,1432,6,1607,-9,0,369
2,19,WN,1882,PHX,SLC,835,-4,1015,-14,0,507
7,19,OO,5821,LAX,FCA,1151,-4,1553,-27,0,1014
1,19,MQ,3681,SJT,DFW,1842,-11,1949,-7,0,229
8,23,NK,354,ACY,MCO,1320,27,1545,31,0,852
4,19,WN,1980,OKC,LAS,1340,-2,1420,-13,0,986
8,19,YV,5763,RAP,DFW,600,-8,922,-26,0,835
6,22,OO,3406,FAT,PDX,745,-7,936,-9,0,626
6,20,WN,5181,ONT,OAK,635,-1,750,-5,0,362
10,21,AA,2180,ILM,CLT,519,-5,624,-10,0,185
5,23,DL,402,JFK,SLC,1000,0,1326,-22,0,1990
2,21,MQ,4062,BRO,DFW,1530,12,1715,3,0,482
12,19,WN,2047,PHX,ONT,1750,6,1805,-7,0,325
1,22,AA,2532,LAX,DCA,1336,13,2126,28,0,2311
3,21,YX,3447,IAD,CLT,1820,-5,1952,-2,0,322
6,21,YV,6232,MCI,IAH,1445,-3,1649,-15,0,643
10,22,DL,2072,LGA,TPA,730,59,1024,52,0,1010
8,23,WN,979,BUR,PHX,1230,14,1400,1,0,369
5,22,NK,1994,LAS,EWR,600,-3,1344,11,0,2227
8,22,OO,5278,TUS,DEN,550,82,900,70,0,639
9,22,WN,3088,MCO,BWI,945,15,1200,2,0,787
6,23,WN,2216,LAS,COS,1430,20,1720,4,0,604
9,22,YX,5809,CMH,LGA,1206,,1359,,1,479
4,22,F9,2869,ISP,PBI,1111,-1,1410,9,0,1052
7,19,G4,462,TYS,EWR,900,-12,1100,-24,0,631
9,22,WN,372,HOU,CRP,2040,1,2135,-11,0,187
4,19,WN,1928,DTW,MDW,1045,-4,1100,-19,0,228
1,22,OH,5351,CLT,DAB,2220,-2,2351,-6,0,416
10,21,AA,2752,DFW,DCA,1848,30,2247,20,0,1192
8,19,OO,5448,SFO,ABQ,1040,-5,1420,-9,0,896
9,22,WN,384,BNA,RDU,2110,4,2340,-7,0,442
5,22,B6,1902,FLL,JFK,1330,69,1630,47,0,1069
5,23,F9,4229,CVG,MIA,1047,0,1322,-10,0,948
4,20,WN,6043,MDW,DAL,1905,-3,2125,-10,0,793
8,22,WN,1760,LAX,OAK,1930,156,2045,143,0,337
5,19,OH,5615,CLT,AVL,1750,57,1844,46,0,91
3,20,WN,4082,PIT,ATL,540,0,730,-14,0,526
2,20,DL,1845,SFO,LAX,630,-4,803,-23,0,337
12,19,DL,1095,CAE,ATL,1400,-1,1515,-8,0,192
1,21,HA,182,HNL,ITO,855,-6,947,-3,0,216
12,20,WN,5018,TPA,DAL,750,1,935,-15,0,917
3,20,EV,4246,IAH,LRD,1620,-8,1739,-13,0,301
4,23,DL,1049,LAX,DEN,2035,-7,2356,-5,0,862
3,20,WN,5126,SJU,TPA,1510,0,1825,-19,0,1237
11,21,AA,2497,DCA,MCO,1755,-6,2025,-18,0,759
8,20,OO,4275,DTW,PLN,1210,3,1321,-5,0,243
5,22,UA,2175,RAP,DEN,730,-6,849,-4,0,300
4,22,AA,707,LAX,CLT,2300,9,638,-17,0,2125
9,20,WN,2227,MHT,BWI,635,-5,805,-19,0,377
4,23,G4,1017,PIE,BLV,1818,-19,1937,-26,0,841
5,22,F9,770,LAS,DEN,109,-3,405,-10,0,628
4,22,AA,2891,BNA,DFW,1334,3,1543,1,0,631
6,22,F9,2097,STL,LAS,2014,10,2153,3,0,1371
9,19,F9,100,MCO,ATL,800,-1,939,-7,0,404
4,20,OH,5402,STL,PHL,1700,,2010,,1,814
3,22,DL,2317,PHL,MSP,1520,-2,1721,-31,0,980
3,23,AA,980,ATL,DFW,1423,12,1555,37,0,731
8,19,MQ,4034,DFW,SPI,1225,10,1422,8,0,630
8,22,QX,2037,PAE,GEG,1915,-8,2010,-11,0,222
11,19,WN,187,LAS,AUS,1005,-1,1445,-8,0,1090
1,19,DL,2096,MSP,TPA,900,0,1326,8,0,1306
3,21,OO,5197,ORD,MCW,1310,8,1442,-5,0,289
6,23,OO,3745,OMA,MSP,1749,-3,1915,-18,0,282
11,22,DL,445,AVL,ATL,1050,-8,1200,-9,0,164
10,19,AS,1384,PSP,SEA,1350,46,1640,55,0,987
7,23,AA,433,DFW,BHM,2113,-3,2259,-13,0,597
5,22,DL,2170,ATL,MDT,1515,-1,1709,-20,0,620
7,20,WN,2251,JAX,ATL,1755,-3,1910,-9,0,270
3,23,UA,2127,ATL,EWR,1833,-5,2049,2,0,746
6,22,G4,1871,PIE,TUL,1810,116,1938,137,0,961
2,22,WN,2258,SMF,SLC,1040,-1,1315,-7,0,532
1,21,YX,5708,LEX,ATL,730,-5,900,9,0,304
9,21,OO,3071,BTR,DFW,1954,-11,2129,-20,0,383
5,22,YX,3691,PWM,EWR,1912,-11,2059,14,0,284
10,19,WN,2054,LAX,OAK,905,0,1030,3,0,337
5,20,B6,1135,STT,SJU,1600,-15,1636,-20,0,68
3,23,OO,4680,TYS,ORD,700,-7,758,-6,0,475
4,20,OH,5190,GRR,PHL,1225,-17,1413,-23,0,573
2,20,MQ,3735,ORD,AZO,2055,57,2249,52,0,122
8,22,B6,577,FLL,SFO,955,55,1255,31,0,2584
4,22,YX,4510,CMH,PHL,806,-5,939,13,0,406
2,20,NK,708,CLE,MCO,630,2,905,23,0,895
12,22,YX,3452,DTW,EWR,1626,-8,1811,-18,0,488
8,23,WN,1575,MAF,LAS,1135,-12,1140,-7,0,795
1,21,UA,1453,MCO,DEN,815,-5,1021,-9,0,1546
12,19,DL,1923,DAB,ATL,600,-4,728,-18,0,366
12,19,AS,335,OAK,SEA,1950,-1,2157,1,0,672
8,20,YX,3406,BGR,IAD,1430,-10,1631,-20,0,601
7,23,WN,6803,DEN,HOU,1705,8,2030,-6,0,883
6,22,UA,278,LAS,DEN,710,-5,1009,4,0,628
9,21,WN,782,SFO,DEN,1420,,1755,,1,967
9,20,OO,5288,DEN,COD,1134,-7,1304,-15,0,391
8,19,AS,137,SEA,ANC,1440,28,1720,14,0,1448
8,20,EV,3949,IAH,ECP,2025,22,2207,25,0,572
2,20,AA,937,DCA,DFW,1605,0,1850,-12,0,1192
6,19,YX,4517,MIA,LGA,650,6,953,-6,0,1096
7,22,F9,1578,IAH,ATL,853,-5,1207,-14,0,689
1,23,9E,4799,ATL,BTR,1735,-5,1813,-5,0,448
9,22,OH,5138,DCA,BUF,1531,16,1650,9,0,296
4,20,B6,1454,SJU,FLL,818,-14,1105,-20,0,1046
7,19,OO,3048,PHX,SBP,1701,-5,1836,-4,0,509
5,19,UA,1688,FLL,EWR,1030,-9,1326,-14,0,1065
4,21,OO,3277,DFW,SAF,1320,-3,1422,-17,0,551
2,20,WN,1087,ATL,MDW,855,27,955,12,0,591
6,19,OO,3695,DTW,LAN,821,-2,908,-13,0,74
7,22,UA,1689,IAH,OMA,1943,56,2157,57,0,781
2,23,WN,910,BNA,PHX,510,0,825,-5,0,1449
12,21,DL,1455,SMF,SLC,1008,27,1249,15,0,532
9,21,YX,4589,ORD,BWI,1330,3,1626,0,0,621
9,19,OO,5822,BNA,ORD,1645,-4,1839,5,0,409
1,23,9E,4867,BUF,LGA,730,-10,858,-26,0,292
1,22,DL,2699,PBI,JFK,1216,,1500,,1,1028
5,19,9E,5288,AEX,ATL,1504,3,1750,-13,0,500
10,21,UA,2044,EWR,ATL,900,-3,1136,-28,0,746
8,20,F9,1606,CLE,RDU,1309,25,1439,10,0,416
12,19,WN,1732,SAN,MCI,630,-5,1140,-17,0,1334
11,19,OO,5331,MTJ,ORD,1310,24,1659,12,0,1081
8,22,G4,1533,FNT,SFB,900,6,1131,6,0,988
3,23,YX,4682,ILM,LGA,603,-6,747,-21,0,500
9,21,UA,1008,IAD,TPA,2200,-2,27,-14,0,811
8,23,AA,2681,PHX,SFO,1027,3,1232,2,0,651
12,21,YX,3426,XNA,EWR,915,-8,1316,-25,0,1131
5,21,OO,5104,DEN,JMS,1925,-5,2213,-17,0,573
7,19,OO,3578,RST,MSP,1247,-5,1344,-23,0,76
3,20,YV,6066,DAY,IAD,1455,-8,1620,-25,0,368
2,21,WN,388,CLE,DEN,700,-3,830,-12,0,1201
6,22,B6,390,DCA,BOS,830,16,1004,9,0,399
6,23,OH,5511,CLT,BNA,1015,-4,1045,-4,0,328
12,21,UA,1761,SAN,SFO,1858,-1,2034,-11,0,447
2,23,WN,1676,ELP,LAS,1455,-8,1545,-6,0,583
2,23,WN,384,SJU,BWI,1725,19,2040,13,0,1565
9,22,OO,3506,ONT,SLC,1700,-9,1948,-15,0,558
4,21,AS,1433,LAS,SEA,1420,-10,1700,-16,0,867
6,19,UA,1101,IAH,DEN,1020,-7,1147,-16,0,862
4,19,AA,775,PHX,OAK,1642,-2,1839,-8,0,646
7,19,WN,3153,MCO,DCA,1250,0,1505,2,0,759
8,23,HA,145,OGG,HNL,805,-5,843,-3,0,100
10,22,AA,2933,MIA,EWR,1413,-6,1712,-13,0,1085
4,20,9E,4993,TLH,ATL,1130,52,1233,55,0,223
7,20,WN,1740,ATL,MCI,1115,-2,1225,-13,0,692
1,22,AA,1805,OKC,DFW,1022,-7,1138,-16,0,175
2,19,9E,3429,EWR,CVG,855,-9,1118,-21,0,569
10,22,G4,412,CVG,SFB,1846,-7,2047,-11,0,735
12,19,AA,1476,PHX,SNA,1529,-4,1549,0,0,338
3,20,AA,2130,BOS,DCA,1000,61,1143,71,0,399
5,19,DL,2559,ATL,PHX,2013,-2,2125,-12,0,1587
4,23,WN,1981,MCI,LAX,2055,6,2230,-2,0,1363
7,20,MQ,4262,SRQ,DFW,1431,-3,1610,0,0,945
11,22,WN,454,MDW,ROC,1330,-1,1610,-12,0,523
9,22,WN,1457,BNA,SAV,940,-3,1205,32,0,417
8,19,MQ,3507,ORD,CVG,2201,54,14,47,0,264
7,22,9E,5485,GSP,LGA,1250,13,1449,-3,0,610
5,21,OO,5948,DEN,BNA,1543,-6,1920,3,0,1014
8,22,AA,2465,DFW,JAX,1155,-2,1517,-8,0,918
2,19,AA,523,CLT,FLL,1330,2,1532,-14,0,632
5,21,9E,5057,MSP,RAP,2140,-6,2213,-5,0,489
9,22,9E,4874,LAN,DTW,1127,-5,1215,-16,0,74
11,22,YX,4324,PIT,JFK,600,-2,738,-15,0,340
10,21,DL,839,SEA,MCO,2135,0,550,0,0,2554
2,19,B6,1853,JAX,FLL,1228,-2,1346,4,0,319
9,19,EV,4110,ORD,SBN,1540,20,1735,30,0,84
2,20,DL,1408,JFK,BOS,750,-2,912,-24,0,187
10,19,AS,1085,IAD,SEA,1900,9,2200,-7,0,2306
10,22,AA,2716,DFW,LGA,1601,1,2019,-17,0,1389
5,19,OO,5987,BHM,IAH,1845,65,2050,55,0,562
